,index,TotalByYearUSD,Group
16979,29165,287200,Group1
16981,29167,285000,Group1
16985,29172,230000,Group1
16991,29181,254196,Group1
16994,29185,270000,Group1
17014,29213,225000,Group1
17020,29225,400000,Group1
17042,29262,390997,Group1
17082,29333,220000,Group1
17083,29334,284228,Group1
17084,29335,291200,Group1
17095,29356,251123,Group1
17105,29367,514306,Group1
17111,29373,682147,Group1
17144,29427,241589,Group1
17147,29432,366922,Group1
17148,29434,240000,Group1
17176,29484,245000,Group1
17203,29526,260000,Group1
17208,29534,202921,Group1
17211,29537,336000,Group1
17237,29584,249376,Group1
17242,29593,350000,Group1
17245,29599,265000,Group1
17256,29617,225000,Group1
17257,29619,310000,Group1
17261,29627,612026,Group1
17267,29638,255000,Group1
17269,29641,275000,Group1
17280,29655,600289,Group1
17289,29671,210000,Group1
17358,29775,230000,Group1
17387,29816,218287,Group1
17388,29818,234300,Group1
17431,29876,422931,Group1
17465,29931,250000,Group1
17473,29940,600000,Group1
17479,29950,500000,Group1
17497,29974,220000,Group1
17562,30082,260000,Group1
17584,30120,410000,Group1
17585,30121,300000,Group1
17598,30137,275000,Group1
17612,30167,270562,Group1
17631,30192,250000,Group1
17671,30259,250000,Group1
17673,30264,210000,Group1
17678,30272,237372,Group1
17684,30289,203000,Group1
17687,30293,300000,Group1
17733,30373,202921,Group1
17753,30412,350000,Group1
17757,30417,205000,Group1
17763,30430,270000,Group1
17776,30451,300000,Group1
17797,30484,355000,Group1
17807,30504,270000,Group1
17825,30543,250000,Group1
17832,30556,210000,Group1
17834,30559,250000,Group1
17850,30586,290000,Group1
17855,30596,225000,Group1
17860,30607,220000,Group1
17928,30729,250000,Group1
17939,30745,205000,Group1
17951,30766,217916,Group1
17983,30829,241589,Group1
18067,30990,454259,Group1
18104,31082,332000,Group1
18117,31102,210000,Group1
18147,31160,255000,Group1
18175,31216,250000,Group1
18181,31227,243305,Group1
18219,31289,215000,Group1
18220,31290,312000,Group1
18242,31328,230000,Group1
18265,31371,240000,Group1
18266,31372,522218,Group1
18288,31412,250000,Group1
18312,31456,370621,Group1
18314,31459,250000,Group1
18329,31486,448343,Group1
18427,31662,243506,Group1
18456,31708,477503,Group1
18482,31750,220153,Group1
18498,31771,450966,Group1
18527,31818,682147,Group1
18563,31870,440897,Group1
18568,31877,625301,Group1
18595,31914,300145,Group1
18617,31950,338202,Group1
18704,32107,518432,Group1
18730,32150,681816,Group1
18808,32273,397919,Group1
18846,32324,477503,Group1
18854,32335,477503,Group1
19006,32585,216013,Group1
19060,32669,545717,Group1
19141,32804,422931,Group1
19154,32824,357142,Group1
19155,32826,654861,Group1
19181,32873,624998,Group1
19220,32939,203007,Group1
19267,33023,682147,Group1
19287,33065,432640,Group1
19290,33068,202245,Group1
19311,33101,206918,Group1
19357,33181,341073,Group1
19400,33258,217916,Group1
19407,33266,208000,Group1
19485,33400,225000,Group1
19518,33454,405973,Group1
19526,33463,438615,Group1
19577,33550,438310,Group1
19581,33558,230000,Group1
19609,33607,313788,Group1
19630,33645,204644,Group1
19656,33686,478000,Group1
19658,33690,250000,Group1
19667,33707,519479,Group1
19688,33741,654861,Group1
19730,33806,202921,Group1
19772,33885,325000,Group1
19867,34050,211038,Group1
19875,34063,250121,Group1
19883,34075,265748,Group1
19898,34096,241589,Group1
19900,34098,260000,Group1
19960,34199,409288,Group1
19999,34266,491282,Group1
20072,34389,300000,Group1
20133,34488,350000,Group1
20143,34503,400000,Group1
20178,34566,225000,Group1
20224,34642,600000,Group1
20253,34696,224079,Group1
20262,34710,218000,Group1
20275,34729,250000,Group1
20384,34936,270000,Group1
20386,34938,270440,Group1
20427,35011,680548,Group1
20428,35013,500000,Group1
20514,35147,338244,Group1
20580,35264,210000,Group1
20636,35358,501482,Group1
20716,35498,551121,Group1
20728,35513,210000,Group1
20734,35525,270000,Group1
20765,35573,600289,Group1
20777,35591,375000,Group1
20780,35599,305000,Group1
20805,35636,300000,Group1
20856,35716,265000,Group1
20868,35738,375000,Group1
20915,35820,360000,Group1
20924,35834,219000,Group1
20950,35877,266774,Group1
20951,35878,211038,Group1
20955,35883,250000,Group1
20992,35951,250000,Group1
20997,35962,258000,Group1
21031,36016,250000,Group1
21033,36020,315000,Group1
21053,36055,244436,Group1
21085,36106,205000,Group1
21107,36142,300000,Group1
21130,36188,220000,Group1
21133,36192,580000,Group1
21141,36207,280000,Group1
21143,36211,223213,Group1
21163,36243,250000,Group1
21182,36268,386388,Group1
21187,36277,255000,Group1
21202,36308,243506,Group1
21216,36331,220000,Group1
21218,36335,250000,Group1
21230,36354,395620,Group1
21235,36363,500000,Group1
21283,36455,500000,Group1
21296,36495,225000,Group1
21330,36565,300000,Group1
21365,36633,250000,Group1
21373,36648,232444,Group1
21382,36668,205000,Group1
21389,36681,288000,Group1
21395,36695,378549,Group1
21404,36711,260000,Group1
21414,36736,300000,Group1
21426,36761,300000,Group1
21435,36777,323029,Group1
21439,36782,320000,Group1
21465,36832,595920,Group1
21490,36890,682147,Group1
21495,36899,225000,Group1
21709,37362,240000,Group1
21742,37430,284228,Group1
21743,37432,436574,Group1
21791,37543,304382,Group1
21812,37589,270562,Group1
21845,37666,211038,Group1
21898,37760,204644,Group1
21912,37783,518750,Group1
21917,37788,272859,Group1
21933,37819,204644,Group1
21956,37862,220000,Group1
21959,37869,240000,Group1
22023,38008,600000,Group1
22033,38022,600647,Group1
22038,38029,280000,Group1
22047,38047,300000,Group1
22076,38089,425000,Group1
22084,38100,491146,Group1
22086,38104,216449,Group1
22090,38110,224000,Group1
22096,38125,240000,Group1
22117,38168,234000,Group1
22138,38223,267674,Group1
22230,38405,250000,Group1
22236,38418,227899,Group1
22248,38440,350000,Group1
22293,38555,500000,Group1
22305,38584,422931,Group1
22316,38608,270562,Group1
22362,38704,622118,Group1
22408,38813,280000,Group1
22421,38855,234000,Group1
22428,38866,204000,Group1
22454,38939,238192,Group1
22476,38978,300000,Group1
22480,38987,230000,Group1
22499,39026,288000,Group1
22523,39074,293000,Group1
22544,39122,230000,Group1
22558,39165,210000,Group1
22562,39169,400000,Group1
22565,39172,250001,Group1
22573,39190,217916,Group1
22594,39238,259000,Group1
22602,39258,218000,Group1
22625,39301,290555,Group1
22659,39371,613932,Group1
22663,39383,225483,Group1
22730,39539,220000,Group1
22786,39659,205000,Group1
22787,39662,249534,Group1
22848,39802,351730,Group1
22893,39896,245000,Group1
22918,39954,244362,Group1
22926,39972,231806,Group1
22988,40124,483178,Group1
22991,40129,221698,Group1
23000,40152,220000,Group1
23062,40290,300000,Group1
23071,40316,270440,Group1
23080,40334,250000,Group1
23103,40378,654861,Group1
23123,40438,644238,Group1
23192,40590,231806,Group1
23201,40604,518432,Group1
23218,40637,240000,Group1
23233,40665,300000,Group1
23254,40717,324000,Group1
23279,40781,225000,Group1
23290,40800,202921,Group1
23294,40812,330085,Group1
23312,40851,559360,Group1
23320,40879,483178,Group1
23322,40882,270000,Group1
23344,40923,263169,Group1
23347,40927,365000,Group1
23357,40946,354331,Group1
23420,41069,697332,Group1
23425,41075,370000,Group1
23428,41081,409288,Group1
23438,41098,272859,Group1
23444,41104,260000,Group1
23455,41134,220000,Group1
23465,41153,237372,Group1
23476,41172,300000,Group1
23477,41175,202921,Group1
23478,41176,689933,Group1
23507,41247,210000,Group1
23551,41351,215000,Group1
23567,41391,618883,Group1
23582,41414,225483,Group1
23588,41425,270000,Group1
23603,41455,235000,Group1
23644,41559,205178,Group1
23765,41798,250000,Group1
23778,41815,217916,Group1
23786,41830,586646,Group1
23810,41871,216978,Group1
23835,41911,545717,Group1
23839,41918,246000,Group1
